iteration,loss,phase,window
67,7.891101234211704e-05,adam,0
68,7.203605423949418e-05,adam,0
69,6.027224816202702e-05,adam,0
70,4.2941345463243726e-05,adam,0
71,2.5725096745995555e-05,adam,0
72,1.6495223244026476e-05,adam,0
73,1.784655923838562e-05,adam,0
74,2.652180822706571e-05,adam,0
75,3.5082026500983246e-05,adam,0
76,3.941203975961495e-05,adam,0
77,3.91623926251579e-05,adam,0
78,3.61039357980017e-05,adam,0
79,3.230980743233293e-05,adam,0
80,2.9060564804382703e-05,adam,0
81,2.684912034999354e-05,adam,0
82,2.5887809925033946e-05,adam,0
83,2.607619817790345e-05,adam,0
84,2.6548352511212675e-05,adam,0
85,2.5852516916962067e-05,adam,0
86,2.2971859781821924e-05,adam,0
87,1.8250778405513027e-05,adam,0
88,1.333246053256704e-05,adam,0
89,9.970874577366087e-06,adam,0
90,8.675993894209783e-06,adam,0
91,8.58353991943357e-06,adam,0
92,8.522362394396735e-06,adam,0
93,7.921474995845476e-06,adam,0
94,6.835773431356146e-06,adam,0
95,5.534126429539451e-06,adam,0
96,4.290997348762143e-06,adam,0
97,3.4362531456510767e-06,adam,0
98,3.273762753051777e-06,adam,0
99,3.7663655369694546e-06,adam,0
100,4.414390472348546e-06,adam,0
101,4.622498239877358e-06,adam,0
102,4.203061444682322e-06,adam,0
103,3.4778804745564984e-06,adam,0
104,2.9134902093594504e-06,adam,0
105,2.7139594086918077e-06,adam,0
106,2.76315877332594e-06,adam,0
107,2.849535096377384e-06,adam,0
108,2.8417355398086447e-06,adam,0
109,2.68994953402824e-06,adam,0
110,2.3922930150618653e-06,adam,0
111,2.0228674713703363e-06,adam,0
112,1.733243464679484e-06,adam,0
113,1.650664795283269e-06,lbfgs,0
114,4.544742890205632e-06,lbfgs,0
115,1.4953785792286477e-06,lbfgs,0
116,1.431996595705507e-06,lbfgs,0
117,1.3558338156844098e-06,lbfgs,0
118,1.0529134883514896e-06,lbfgs,0
119,9.724001144232098e-07,lbfgs,0
120,9.653099362351204e-07,lbfgs,0
121,9.638473450496383e-07,lbfgs,0
122,9.579964755350542e-07,lbfgs,0
123,9.570846140145992e-07,lbfgs,0
124,9.570010331608788e-07,lbfgs,0
125,9.569704539875504e-07,lbfgs,0
126,9.567186711335277e-07,lbfgs,0
127,9.566735103914672e-07,lbfgs,0
128,9.566441079674201e-07,lbfgs,0
129,9.563976361195083e-07,lbfgs,0
130,9.563530739872379e-07,lbfgs,0
131,9.56323700948754e-07,lbfgs,0
132,9.56077383879482e-07,lbfgs,0
133,9.560328637303255e-07,lbfgs,0
134,9.560034976282364e-07,lbfgs,0
135,9.557573947811624e-07,lbfgs,0
136,9.557127556002952e-07,lbfgs,0
137,9.556833953605633e-07,lbfgs,0
138,9.554375579446876e-07,lbfgs,0
139,9.553927467620994e-07,lbfgs,0
140,9.55363392106856e-07,lbfgs,0
141,9.551178403596058e-07,lbfgs,0
142,9.550728371648413e-07,lbfgs,0
143,9.550434879700573e-07,lbfgs,0
144,9.54798229511937e-07,lbfgs,0
145,9.547530265258997e-07,lbfgs,0
146,9.547236827346648e-07,lbfgs,0
147,9.544787219825537e-07,lbfgs,0
148,9.544333149756645e-07,lbfgs,0
149,9.544039765507035e-07,lbfgs,0
150,9.541593148978565e-07,lbfgs,0
151,9.541137022736942e-07,lbfgs,0
152,9.540843691949474e-07,lbfgs,0
153,9.538400085283838e-07,lbfgs,0
154,9.537941885771214e-07,lbfgs,0
155,9.537648608245447e-07,lbfgs,0
156,9.535208013453825e-07,lbfgs,0
157,9.534747736494022e-07,lbfgs,0
158,9.534454512112693e-07,lbfgs,0
159,9.532016942697758e-07,lbfgs,0
160,9.531554576555818e-07,lbfgs,0
161,9.531261405166456e-07,lbfgs,0
162,9.528826859865335e-07,lbfgs,0
163,9.528362403574917e-07,lbfgs,0
164,9.528069285090278e-07,lbfgs,0
165,9.525637775654519e-07,lbfgs,0
166,9.525171219239227e-07,lbfgs,0
167,9.52487815353041e-07,lbfgs,0
168,9.522449677108724e-07,lbfgs,0
169,9.521981021144459e-07,lbfgs,0
170,9.521688008143844e-07,lbfgs,0
171,9.51926257540603e-07,lbfgs,0
