epoch,i,t,trained_until,n_x,n_y,n_z,x,y,z,dx_dt,dy_dt,dz_dt,f_x,f_y,f_z,r_x,r_y,r_z,r_sq,loss_contribution,ref_x,ref_y,ref_z,err_x,err_y,err_z,err_norm
48146,8909,8.54839946,10.3168022,-0.0448710679,-0.161523947,0.425146078,0.352703656,-1.60376274,-0.240895853,-0.0385491777,-0.136123865,0.42465048,-0.0386339793,-0.135943757,0.424239737,8.48015268e-05,-0.000180108605,0.000410743199,2.08340384e-07,6.45896527e-12,0.352701998,-1.60378328,-0.240811634,1.65872137e-06,2.05415105e-05,-8.42185946e-05,8.67033833e-05
48146,8910,8.54935898,10.3168022,-0.0448402279,-0.161400053,0.425143653,0.352666697,-1.60389324,-0.240488394,-0.0384868828,-0.135879606,0.424642785,-0.0385717709,-0.135699596,0.424229798,8.48880788e-05,-0.0001800095,0.000412987203,2.10167836e-07,6.51561991e-12,0.35266497,-1.60391356,-0.240404567,1.72767408e-06,2.03226187e-05,-8.38266282e-05,8.62722278e-05
48146,8911,8.55031851,10.3168022,-0.0448093849,-0.161276176,0.425141215,0.352629798,-1.6040235,-0.240080943,-0.0384245804,-0.1356354,0.424635051,-0.0385095474,-0.135455511,0.424219862,8.49669724e-05,-0.000179889414,0.000415188999,2.11961492e-07,6.57122683e-12,0.352628001,-1.6040436,-0.23999751,1.79675977e-06,2.01040253e-05,-8.3432393e-05,8.58391774e-05
48146,8912,8.55127803,10.3168022,-0.044778539,-0.161152316,0.425138763,0.352592959,-1.60415353,-0.239673499,-0.0383622707,-0.135391249,0.424627278,-0.0384473089,-0.135211501,0.424209929,8.50382146e-05,-0.000179748494,0.000417348564,2.13720843e-07,6.6257702e-12,0.352591093,-1.60417341,-0.239590463,1.86597149e-06,1.98857515e-05,-8.30359295e-05,8.54042771e-05
48146,8913,8.55223756,10.3168022,-0.04474769,-0.161028473,0.425136297,0.352556179,-1.60428332,-0.239266063,-0.0382999536,-0.135147153,0.424619464,-0.0383850554,-0.134967566,0.424199999,8.51018126e-05,-0.000179586885,0.000419465879,2.15445392e-07,6.67923461e-12,0.352554244,-1.60430299,-0.239183425,1.93530227e-06,1.96678184e-05,-8.2637278e-05,8.49675714e-05
48146,8914,8.55319708,10.3168022,-0.0447168381,-0.160904648,0.425133817,0.352519459,-1.60441288,-0.238858634,-0.0382376291,-0.134903111,0.424611612,-0.0383227869,-0.134723706,0.424190071,8.51577735e-05,-0.000179404732,0.000421540921,2.17134653e-07,6.73160506e-12,0.352517454,-1.60443233,-0.238776397,2.00474514e-06,1.94502471e-05,-8.22364792e-05,8.45291052e-05
48146,8915,8.5541566,10.3168022,-0.0446859833,-0.16078084,0.425131323,0.352482799,-1.60454221,-0.238451213,-0.0381752974,-0.134659124,0.42460372,-0.0382605035,-0.134479921,0.424180147,8.52061043e-05,-0.000179202181,0.00042357367,2.18788156e-07,6.78286694e-12,0.352480725,-1.60456144,-0.238369379,2.07429316e-06,1.92330582e-05,-8.18335735e-05,8.4088923e-05
48146,8916,8.55511613,10.3168022,-0.0446551255,-0.160657049,0.425128816,0.352446199,-1.6046713,-0.238043799,-0.0381129584,-0.134415191,0.424595789,-0.0381982052,-0.134236211,0.424170225,8.52468121e-05,-0.000178979377,0.000425564104,2.20405444e-07,6.83300606e-12,0.352444055,-1.60469032,-0.23796237,2.14393935e-06,1.90162724e-05,-8.14286016e-05,8.36470696e-05
48146,8917,8.55607565,10.3168022,-0.0446242647,-0.160533275,0.425126295,0.352409659,-1.60480016,-0.237636393,-0.0380506121,-0.134171313,0.424587819,-0.038135892,-0.133992576,0.424160307,8.52799042e-05,-0.000178736466,0.000427512203,2.2198607e-07,6.88200863e-12,0.352407445,-1.60481896,-0.237555371,2.21367677e-06,1.87999101e-05,-8.1021604e-05,8.32035894e-05
48146,8918,8.55703518,10.3168022,-0.044593401,-0.160409519,0.42512376,0.352373178,-1.60492878,-0.237228994,-0.0379882587,-0.133927489,0.424579809,-0.0380735641,-0.133749016,0.424150391,8.53053876e-05,-0.000178473593,0.000429417946,2.23529605e-07,6.92986125e-12,0.352370895,-1.60494736,-0.237148382,2.28349846e-06,1.85839918e-05,-8.06126213e-05,8.27585273e-05
